number-club-show,date,club,city,rang,judge,members,photo,catalog,year
14,17.02.2018,"ТКЦ ""ТРОЯН""",ТОЛЬЯТТИ,ПК,ОВСЯННИКОВА ЮЛИЯ (РОССИЯ),63,https://www.facebook.com/zarrina.hamidova/videos/1792208654136956/,20180217-toliatti.pdf,2018
15,18.02.2018,КЛЖ «ФАУНА»,МОСКВА,ПК,KAREL HORAK (ЧЕХИЯ),35,нет,20180218-moscow.pdf,2018
16,24.02.2018,"СООО ЕКК ""Виннер"" ",ЕКАТЕРИНБУРГ,КЧК,КРЮКОВА Е.В. (РОССИЯ),58,https://www.facebook.com/media/set/?set=oa.1021025884717940&type=3,20180224-ekaterinburg.pdf,2018
17,25.02.2018,НГООЛС Актион,НОВОСИБИРСК,ПК,СОКОЛОВА Л.В. (РОССИЯ),43,да,20180225-novosibirsk.pdf,2018
18,25.02.2018,"ВРОО КСОДП ""Феникс""",ВОРОНЕЖ,ПК,КИРКИЦКАЯ Г.В. (РОССИЯ),39,да,20180225-voronezh.pdf,2018
19,25.02.2018,"КРООЛЖ ""Хелен,с Прауд""",КРАСНОЯРСК,КЧК,ПОПЛАВСКАЯ Е.В. (РОССИЯ),37,да,20180225-krasnoyarsk.pdf,2018
20,03.03.2018,"РОО ""НордВест""",САНКТ-ПЕТЕРБУРГ,ПК,ГАВРИЛОВА ЯНА (РОССИЯ),46,да,20180303-sankt-peterburg.pdf,2018
21,03.03.2018,"СОООЦЛС ""Имидж Дог""",САМАРА,КЧК,KUZELJ DENIS (БОЛГАРИЯ),21,да,20180303-samara.pdf,2018
22,03.03.2018,СООО КК Линос,ЕКАТЕРИНБУРГ,КЧК,КОЗИНА Е. (РОССИЯ),34,нет,20180303-ekaterinburg.pdf,2018
23,04.03.2018,"МРКЛСК ""ЗООЦЕНТР""",САРАНСК,ПК,АБРАКИМОВ ШАМИЛЬ (РОССИЯ),41,да,20180403-saransk.pdf,2018
24,11.03.2018,ОО ПККСС,ПЕРМЬ,КЧК,ПОПЛАВСКАЯ Е.В. (РОССИЯ),26,https://www.facebook.com/media/set/?set=oa.1034650663355462&type=3,20180311-perm.pdf,2018
25,18.03.2018,"АГДООЛЖ ""ОЛЬХОН""",АНГАРСК,КЧК,NEBOJSA SVRAKA (СЕРБИЯ),39,да,20180318-angarsk.pdf,2018
26,25.03.2018,"РОО КК ""ПЛАНЕТА СОБАК""",МОСКВА,ЧК,"LYNN LYTHGOE (UK), JEAN SHARP-BALE(UK)",204,"https://www.facebook.com/media/set/?set=oa.1019413811545814&type=3, https://www.facebook.com/media/set/?set=oa.1017831978370664&type=3, https://www.facebook.com/media/set/?set=oa.945922475561615&type=3 ",20180325-moscow.pdf,2018
27,31.03.2018,СПб ОО «КЛС «Невский Бриз» ,САНКТ-ПЕТЕРБУРГ,КЧК,TAMAS JAKKEL (ВЕНГРИЯ) ,24,https://www.facebook.com/media/set/?set=oa.1023421031145092&type=3,20180331-sankt-peterburg.pdf,2018
28,31.03.2018,"ЗКОО ""Клуб Фауна""",ЧИТА,КЧК,РОДИНА ИНЕССА (РОССИЯ),18,да,20180331-chita.pdf,2018
29,31.03.2018,"КООКО ""Курган-Град""",КУРГАН,ПК,MASALEVICHENE NATALYA (КАЗАХСТАН),92,https://www.facebook.com/media/set/?set=oa.1027577284062800&type=3,20180331-kurgan.pdf,2018
30,31.03.2018,"ККРОО ""Клуб Абсолют""",КАЛИНИНГРАД,КЧК,СЕНАШЕНКО ЕКАТЕРИНА (РОССИЯ),19,нет,20180331-kaliningrad.pdf,2018
31,31.03.2018,"ЧГОО ЧКЦ ""Алмазная Корона""",ЧЕРЕПОВЕЦ,КЧК,ОВСЯННИКОВА ЮЛИЯ (РОССИЯ),30,да,20180331-cherepovets.pdf,2018
32,01.04.2018,"СРОО ""СКЦ""",ЕКАТЕРИНБУРГ,КЧК,КИРКИЦКАЯ Г.В. (РОССИЯ),56,https://www.facebook.com/media/set/?set=oa.1034484156705446&type=3,20180331-ekaterinburg.pdf,2018
33,07.04.2018,"МГОО ""Клуб собаководства ""Зоомир""",МИАСС,ПК,HLEBAROV ANTOAN (БОЛГАРИЯ),44,да,20180407-miass.pdf,2018
34,07.04.2018,"ОО ""ЦЛЖ ""ТЮЛОС"" г. Новый Уренгой",НОВЫЙ УРЕНГОЙ,ПК,КОРОТАЕВА СВЕТЛАНА (РОССИЯ),21,да,20180407-novyi-urengoi.pdf,2018
35,14.04.2018,"МОО ""КЦ""",СЕВАСТОПОЛЬ,КЧК,СЕДЫХ Н.Е. (РОССИЯ),14,да,20180414-sevastopol.pdf,2018
36,14.04.2018,"ОО КЛПС ""Кинология""",СЫЗРАНЬ,ПК,ОСТРОВСКАЯ МАРИНА (РОССИЯ),54,https://www.youtube.com/watch?v=VA-Jlv8qFLk&feature=youtu.be,20180414-syzran.pdf,2018
37,14.04.2018,"СРООЛС ""Мистер Пёс""",ЕКАТЕРИНБУРГ,ПК,MACH LISBETH (ШВЕЙЦАРИЯ),94,нет,20180414-ekaterinburg.pdf,2018
38,15.04.2018,КФРБ,УФА,ПК,ГАЧИНА ОКСАНА (РОССИЯ),37,да,20180415-ufa.pdf,2018
39,22.04.2018,ПРООЛЖ «СКиФ»,ПЕНЗА,КЧК,МОРОЗОВА О.В. (РОССИЯ),20,https://www.facebook.com/media/set/?set=oa.1042905895863272&type=3,20180422-penza.pdf,2018
40,22.04.2018,КС и ЛС ФАВОРИТ,ЕКАТЕРИНБУРГ,КЧК,ОСТРОВСКАЯ МАРИНА (РОССИЯ),39,https://www.facebook.com/media/set/?set=oa.1051495031671025&type=3,20180422-ekaterinburg.pdf,2018
41,29.04.2018,РОО ЦЛЖ «Лидер и Престиж»,МОСКВА,ПК,"HARTO STOCKMARI (ФИНЛЯНДИЯ), MIKAEL NILSSON (ШВЕЦИЯ)",35,https://www.facebook.com/media/set/?set=oa.1035848353235693&type=3,20180429-moscow.pdf,2018
42,29.04.2018,"ОРОО ""КЛЖ ""ФЛАГМАН""",ОМСК,КЧК,РАСЧИХМАРОВА Т. (РОССИЯ),20,https://www.facebook.com/media/set/?set=oa.1051482041672324&type=3,20180429-omsk.pdf,2018
43,29.04.2018,"РОО ""НОКП""",НИЖНИЙ НОВГОРОД,ПК,ДУДКО ДЕНИС (БЕЛАРУСЬ),46,https://www.facebook.com/media/set/?set=oa.1052391274914734&type=3,20180429-nnovgorod.pdf,2018
44,01.05.2018,"ХКОЛЖ ""РЕГИОН ДВ""",ХАБАРОВСК,ПК,ГРИГОРЕНКО ТАТЬЯНА (РОССИЯ),50,нет,20180501-khabarovsk.pdf,2018
45,09.05.2018,"ТРБОО ""КФРТ""",КАЗАНЬ,ПК,СЕНАШЕНКО ЕКАТЕРИНА (РОССИЯ),37,да,20180509-kazan.pdf,2018
46,12.05.2018,СООКО ВИВАТ УРАЛ,ЕКАТЕРИНБУРГ,КЧК,ОВСЯННИКОВА ЮЛИЯ (РОССИЯ),38,https://www.facebook.com/media/set/?set=oa.1062966527190542&type=3,20180513-ekaterinburg.pdf,2018
47,19.05.2018,ВлОКС,ВЛАДИМИР,КЧК,БЕЛКИНА ЕЛЕНА (РОССИЯ),29,https://www.facebook.com/media/set/?set=oa.1057628914390970&type=3,20180519-vladimir.pdf,2018
48,19.05.2018,"КРОО ""Калининградский Кеннел Клуб""",КАЛИНИНГРАД,КЧК,JOVICA GOLUBOVIC (СЕРБИЯ),20,нет,20180519-kaliningrad.pdf,2018
49,20.05.2018,"ЗРОО ""КСС""",ЧИТА,ПК,ПРОЗОРОВ ДМИТРИЙ (РОССИЯ),23,да,20180520-chita.pdf,2018
50,20.05.2018,"РОО ""ОКПЦ ""Фаворит""",ОМСК,ПК,ANDRZEJ  SZUTKIEWICZ (ПОЛЬША),60,да,20180520-omsk.pdf,2018
51,20.05.2018,"РОО КЦ ""Президент""",МОСКВА,КЧК,"ANTONIO MRACEVIC (ЧЕРНОГОРИЯ), FABIAN ARIENTI (USA)",14,нет,20180520-moscow.pdf,2018
52,27.05.2018,БГОО КСИЛС,БИЙСК,ПК,PUHA OLGA (КАЗАХСТАН),35,да,20180527-novosibirsk.pdf,2018
53,27.05.2018,"ЕГОКО ""Содружество кинологов Екатеринбурга""",ЕКАТЕРИНБУРГ,КЧК,VOLINETS SERGHEI (MOLDOVA),27,https://www.facebook.com/media/set/?set=oa.1057623927724802&type=3,20180527-ekaterinburg.pdf,2018
54,27.05.2018,"РОО КЛС ""ГОЛДРАЙЗ""",МОСКВА,ПК,MARCHESE MARIA LUISA (ИТАЛИЯ),27,https://www.facebook.com/media/set/?set=oa.1051431945010667&type=3,20180527-moscow.pdf,2018
55,27.05.2018,"РООКК ОЛЖ ""СИРИУС""",КРАСНОЯРСК,ПК,ТРИФОНОВА ИРИНА (РОССИЯ),44,да,20180527-krasnoyarsk.pdf,2018
56,27.05.2018,"ОО ""РКФЦ ""ГРАНД+""",СУРГУТ,ПК,КРАКОВСКАЯ ЛЮДМИЛА (РОССИЯ),31,да,20180527-surgut.pdf,2018
57,02.06.2018,ВРООЛЖ «ЗОЛОТОЕ КОЛЬЦО»          ,ВЛАДИМИР,ПК,PAPADATOS MICHAEL (ГРЕЦИЯ),42,да,20180602-vladimir.pdf,2018
58,03.06.2018,СОЦПОиЛС,САРАТОВ,КЧК,БЕЛКИНА ЕЛЕНА (РОССИЯ),23,нет,20180602-saratov.pdf,2018
59,03.06.2018,"СООО ""СОЮЗ КИНОЛОГОВ""",САМАРА,КЧК,КУЛЕШОВА ЕЛЕНА (РОССИЯ),27,да,20180603-samara.pdf,2018
60,03.06.2018,"РОО КЦ ""ЮГОРИЯ""",СУРГУТ,КЧК,ALEKSOSKI MILE (МАКЕДОНИЯ),29,да,20180603-surgut.pdf,2018
61,03.06.2018,"НОООЛЖ ""ФАУНА""",НИЖНИЙ НОВГОРОД,КЧК,ТИМОФЕЕВА ОЛЬГА (РОССИЯ),48,да,20180603-nnovgorod.pdf,2018
62,10.06.2018,"КРООЛЖР ""Радужный мир""",КОРКИНО,КЧК,КОЗИНА Е. (РОССИЯ),39,https://www.facebook.com/groups/472730069547527/permalink/1065643363589525/,20180610-korkino.pdf,2018
63,23.06.2018,МГОО МКСС,МАГНИТОГОРСК,ПК,ЕРШОВ ДМИТРИЙ (РОССИЯ),39,https://www.facebook.com/media/set/?set=oa.1727015904033605&type=3,20180623-magnitogorsk.pdf,2018
64,23.06.2018,"ОО КПЦ ""КИНОС"" г. Кирова",КИРОВ,ПК,БРОВКИНА ТАТЬЯНА (РОССИЯ),38,да,20180623-kirov.pdf,2018
65,24.06.2018,"ООТГКО ""Лидер""",ТОБОЛЬСК,КЧК,HADZIC REFET (БОСНИЯ И ГЕРЦЕГОВИНА,27,да,20180624-tobolsk.pdf,2018
66,30.06.2018,ОО СГКСС,СУРГУТ,КЧК,СЕНАШЕНКО ЕКАТЕРИНА (РОССИЯ),19,да,20180630-surgut.pdf,2018
67,14.07.2018,ТООЛЖ,ТЮМЕНЬ,ПК,ОСТРОВСКАЯ МАРИНА (РОССИЯ),83,https://www.facebook.com/media/set/?set=oa.1121361084684419&type=3,20180714-tymen.pdf,2018
68,22.07.2018,СООО НТКСС,СЕРОВ,КЧК,КОРОТАЕВА СВЕТЛАНА (РОССИЯ),47,https://www.facebook.com/media/set/?set=oa.1121371571350037&type=3,20180722-serov.pdf,2018
69,22.07.2018,"СПБ РОО ""КК ""Элита""",САНКТ-ПЕТЕРБУРГ,ПК,PANOS DEMETRIOU (КИПР),57,https://www.facebook.com/media/set/?set=oa.1318181451669047&type=3,20180722-sanktpeterburg.pdf,2018
70,29.07.2018,КРООПС «КЕННЕЛ-клуб» ,КУРСК,ПК,КИРКИЦКАЯ ГАЛИНА (РОССИЯ),25,нет,20180729-kursk.pdf,2018
71,12.08.2018,ППООЛС,ПЕРМЬ,ПК,БЕГМА ИННА (РОССИЯ),36,нет,20180812-perm.pdf,2018
72,26.08.2018,"КРОО ""Союз кинологов Вятки""",КИРОВ,КЧК,НИКОНОРОВА ТАТЬЯНА,22,да,20180826-kirov.pdf,2018
73,26.08.2018,"КРООЛЖ ""Фауна""",ЕЛИЗОВО,КЧК,ОГАНОВА ГАЛИНА (РОССИЯ),23,нет,20180826-elizovo.pdf,2018
74,08.09.2018,"СРООЛС ""КС""",САРАТОВ,ПК,КАРМАЗИНА Е.В. (РОССИЯ),27,да,20180909-saratov.pdf,2018
75,15.09.2018,КГОЛС,КРАСНОДАР,КЧК,ЯНЧЕВ ОЛЕГ (РОССИЯ),23,да,20180915-krasnodar.pdf,2018
76,15.09.2018,ПКЛС,МО ПУШКИНО,ПК,КУДРЯВЦЕВА ЕЛЕНА (РОССИЯ),39,да,20180915-pushkino.pdf,2018
77,15.09.2018,"ОО ""ПКС ""Кавказ""",ПЯТИГОРСК,КЧК,MALGORZATA WIEREMIEJCZYK-WIERZCHOWSKA (ПОЛЬША),14,да,20180915-pyatigorsk.pdf,2018
78,23.09.2018,"""Красный Яр""",КРАСНОЯРСК,ПК,ОГАНОВА ГАЛИНА (РОССИЯ),70,http://krasnyyar.ru/viewtopic.php?f=5&t=1664&p=89692#p89692,20180923-krasnoyarsk.pdf,2018
79,23.09.2018,"ЗГООЛЖиР ""Планета Эльф""",ЗЛАТОУСТ,КЧК,ЛАКАТОШ ЮЛИЯ (РОССИЯ),24,https://74.ru/forum/message.php?id=15996099,20180923-zlatoust.pdf,2018
80,30.09.2018,"ОРОО ""КПЦ ОМИЧ""",ОМСК,КЧК,БОБИКОВА ВАЛЕРИЯ (РОССИЯ),18,да,20180930-omsk.pdf,2018
81,30.09.2018,ПККСС,ВЛАДИВОСТОК,ПК,ФАБИАН ДАЗА (КОЛУМБИЯ),33,нет,20180930-vladivostok.pdf,2018
82,30.09.2018,"ГОО КС ""Лидер""",НОВОСИБИРСК,КЧК,РОМАНОВСКАЯ ТАТЬЯНА (РОССИЯ),20,https://www.facebook.com/nvolodeva/videos/1066975326817301/,20180930-novosibirsk.pdf,2018
83,14.10.2018,"МКОО ""Трейл""",МО ПОДОЛЬСК,КЧК,АЗЕН ИРИНА (БЕЛАРУСЬ),25,https://www.facebook.com/media/set/?set=oa.1176540025833191&type=3,20181014-podolsk.pdf,2018
84,14.10.2018,СООО КЦ «АВРОРА»,САМАРА,ПК,GUIDO VANDONI (ИТАЛИЯ),57,https://www.facebook.com/media/set/?set=oa.1186743021479558&type=3,20181014-samara.pdf,2018
85,14.10.2018,ООКК,ОРЕЛ,КЧК,ГОРБАЧЕВСКИЙ ОЛЕГ (РОССИЯ),22,https://www.facebook.com/media/set/?set=oa.1176543879166139&type=3,20181014-orel.pdf,2018
86,14.10.2018,"ОО СВЖ ""Виктория"" ",РЫБИНСК,ПК,БЕЛКИНА ЕЛЕНА (РОССИЯ),45,https://www.facebook.com/media/set/?set=oa.1178088699011657&type=3,20181014-rybinsk.pdf,2018
87,21.10.2018,"ОО ИГКЛЖ ""Фауна""",ИЖЕВСК,КЧК,КОРОТАЕВА СВЕТЛАНА (РОССИЯ),23,да,20181027-izhevsk.pdf,2018
88,27.10.2018,КЛС Ассамблея,САНКТ-ПЕТЕРБУРГ,КЧК,SAVVAS HADJISAVVAS (КИПР),22,да,20181027-sankt-peterburg.pdf,2018
89,27.10.2018,"ПКОЛСИК ""Королевский клуб""",ВЛАДИВОСТОК,ПК,CHUAH KENNETH (СИНГАПУР),35,да,20181027-vladivostok.pdf,2018
90,17.11.2018,СПРОО  «КЦ «Северная Венеция»,САНКТ-ПЕТЕРБУРГ,КЧК,PETER REHANEK (ЧЕХИЯ),23,https://www.facebook.com/media/set/?set=oa.1211452922341901&type=3,20181117-sankt-peterburg.pdf,2018
91,18.11.2018,"ТГОО КЛЖ ""НИКА""",ТОБОЛЬСК,КЧК,РОДИНА ИНЕССА (РОССИЯ),12,https://www.facebook.com/media/set/?set=oa.1211493915671135&type=3,20181118-tobolsk.pdf,2018
92,25.11.2018,"ИГОО ""АНГАРА""",ИРКУТСК,ПК,ОВСЯННИКОВА ЮЛИЯ (РОССИЯ),48,http://nkp-spitz.org/assets/files/reports/20181125-irkutsk-photo.pdf,20181125-irkutsk.pdf,2018
93,25.11.2018,СООКО ЕКАТЕРИНБУРГ,НИЖНИЙ ТАГИЛ,ПК,ГРИГОРЕНКО ТАТЬЯНА (РОССИЯ),71,https://www.facebook.com/media/set/?set=oa.1211470599006800&type=3,20181125-nizniy-tagil.pdf,2018
94,25.11.2018,"ООО ""РКК""",МОСКВА,ПК,JASNA MATEJCIC (ХОРВАТИЯ),37,нет,20181125-moscow.pdf,2018
95,25.11.2018,ЛГОО КСС,ЛИПЕЦК,ПК,МЫЧКО ЕЛЕНА (РОССИЯ),18,нет,20181124-lipetsk.pdf,2018
96,1.12.2018,"РКОО"" КС Гармония""",МОСКВА,КЧК,БЕГМА ИННА (РОССИЯ),10,https://www.facebook.com/media/set/?set=oa.1216810125139514&type=3,20181201-moscow.pdf,2018
97,1.12.2018,"ПКОО КЦ ""БРАНД""",ПЕРМЬ,ПК,ЕРШОВ ДМИТРИЙ (РОССИЯ),45,да,20181201-perm.pdf,2018
98,2.12.2018,РКОО ФОРТУНА,МОСКВА,КЧК,ОГАНОВА ГАЛИНА (РОССИЯ),19,нет,20181202-moscow.pdf,2018
99,9.12.2018,"МОО ""Кинология""",МОСКВА,КЧК,ЧИСТЯКОВА ЛЮДМИЛА (РОССИЯ),25,да,20181209-moscow.pdf,2018
100,16.12.2018,ККФ,КРАСНОДАР,ПК,АБРАКИМОВ ШАМИЛЬ (РОССИЯ),17,https://www.facebook.com/media/set/?set=oa.1217160301771163&type=3,20181216-krasnodar.pdf,2018
101,16.12.2018,"СР ОО КЛС ""Экзотика""",ЕКАТЕРИНБУРГ,ПК,КОРОТАЕВА СВЕТЛАНА (РОССИЯ),76,да,20181216-ekaterinburg.pdf,2018
102,16.12.2018,"ТГОО КС ""Верный""",ТОЛЬЯТТИ,КЧК,ФИЛАТОВА АЛЛА (РОССИЯ),37,https://www.facebook.com/media/set/?set=oa.1257636691056857&type=3,20181216-toliatti.pdf,2018
103,22.12.2018,"МООК ""ОЛИМП""",МОСКВА,КЧК,ОСТРОВСКАЯ МАРИНА (РОССИЯ),21,https://www.facebook.com/media/set/?set=oa.1227210647432795&type=3,20181222-moscow.pdf,2018
104,22.12.2018,"""Облохотрыболовсоюз""",ЧЕЛЯБИНСК,КЧК,ТЕТЕРИНА ЕКАТЕРИНА (РОССИЯ),26,https://www.facebook.com/media/set/?set=oa.1235080063312520&type=3,20181222-chelyabinsk.pdf,2018
105,19.1.2019,"НГОЛС  ""Ц.Н.П.""",НОВОСИБИРСК,ПК,ПОЛИВАНОВ МСТИСЛАВ (РОССИЯ),42,https://www.facebook.com/media/set/?set=oa.455378208329715&type=3 ,20190119-novosibirsk.pdf,2019
106,26.1.2019,"МГОО ""КС ""Зоомир""",МИАСС,КЧК,ОВСЯННИКОВА ЮЛИЯ (РОССИЯ),23,нет,20190126-miass.pdf,2019
107,26.1.2019,КЛЖ Каскад,САНКТ-ПЕТЕРБУРГ,КЧК,ROGER BARENNE (ФРАНЦИЯ),29,https://www.facebook.com/media/set/?set=oa.1250045331815993&type=3,20190126-sankt-peterburg.pdf,2019
108,27.1.2019,"НГООЛС ""Молосс""",НОВОСИБИРСК,КЧК,EKARAT SANGKUNAKUP (ТАЙЛАНД),21,https://www.facebook.com/boldyash/media_set?set=a.2292968947608018&type=3,20190127-novosibirsk.pdf,2019
109,2.2.2019,СПб ОО «КЛЖ «ПЕТЕРБУРГ»,САНКТ-ПЕТЕРБУРГ,ПК,MOMCILO MILIC (MONTENEGRO),50,https://www.facebook.com/media/set/?set=oa.1257932834360576&type=3,20190202-sankt-peterburg.pdf,2019
110,3.2.2019,"ОРКК ""ДАЙНА""",ОМСК,КЧК,АЛЕКСАНДРОВ ВЛАДИМИР (РОССИЯ),12,https://www.facebook.com/media/set/?set=oa.1258647680955758&type=3,20190203-omsk.pdf,2019
111,09.02.2019,"СООО ЕКК ""Виннер""",ЕКАТЕРИНБУРГ,ПК,ПИРОГОВА ИРАИДА (РОССИЯ),61,https://www.facebook.com/pg/amstaffphoto/photos/?tab=album&album_id=2309608602424842,20190219-ekaterinburg.pdf,2019
112,09.02.2019,"ТГОО ""КС ""Лада""",ТОЛЬЯТТИ,КЧК,РЕШЕТНИКОВА СВЕТЛАНА (РОССИЯ),28,https://www.facebook.com/media/set/?set=oa.1259397854214074&type=3,20190209-toliatti.pdf,2019
113,10.02.2019,КЛЖ ЭЛИТА,КУРГАН,КЧК,ЛОГИНОВ АЛЕКСАНДР (РОССИЯ),20,нет,20190210-kurgan.pdf,2019
114,16.02.2019,ЧРООЛС,ЧЕЛЯБИНСК,КЧК,АЗЕН ИРИНА (БЕЛАРУСЬ),26,https://www.facebook.com/media/set/?set=oa.1271722992981560&type=3,20190216-chelyabinsk.pdf,2019
115,17.02.2019,"НГООЛС ""Актион""",НОВОСИБИРСК,ПК,ПУХА ОЛЬГА (КАЗАХСТАН),37,https://www.facebook.com/media/set/?set=oa.1271714209649105&type=3,20190216-novosibirsk.pdf,2019
116,17.02.2019,ККСС ДОСААФ,КРАСНОЯРСК,КЧК,ТИЦ АННА (РОССИЯ),26,https://www.facebook.com/media/set/?set=oa.1271732442980615&type=3,20190217-krasnoyarsk.pdf,2019
117,02.03.2019,"РОО ""КЦ ""Триумф""",КОТЛАС,КЧК,ЕРУСАЛИМСКАЯ ЕЛЕНА (РОССИЯ),15,https://www.facebook.com/media/set/?set=oa.1283275401826319&type=3,20190302-kotlas.pdf,2019
118,02.03.2019,МРКЛСК «ЗООЦЕНТР»,САРАНСК,ПК,ДРОВОСЕКОВА НАТАЛЬЯ (КАЗАХСТАН),36,https://www.facebook.com/media/set/?set=oa.1299538216866704&type=3,20190302-saransk.pdf,2019
119,03.03.2019,НОО ДОЛЖ - Контакт,НИЖНИЙ ТАГИЛ,ПК,ЛАКАТОШ ЮЛИЯ (РОССИЯ),61,нет,20190303-tagil.pdf,2019
120,09.03.2019,оо ПККСС,ПЕРМЬ,КЧК,КУПЛЯУСКАС ЕВГЕНИЙ (РОССИЯ),21,https://www.facebook.com/media/set/?set=oa.1283266785160514&type=3,20190309-perm.pdf,2019
121,09.03.2019,РОО НКС БЭСТ,НОВОСИБИРСК,КЧК,РАДЮК СВЕТЛАНА (БЕЛАРУСЬ),18,нет,20190309-novosibirsk.pdf,2019
122,16.03.2019,"ВРОО КСОДП ""Феникс""",ВОРОНЕЖ,ПК,БОБИКОВА ВАЛЕРИЯ (РОССИЯ),38,https://www.facebook.com/media/set/?set=oa.1299655950188264&type=3,20190316-voronezh.pdf,2019
123,23.03.2019,"СРОО ""КФЦ ""Кредо Плюс""",ЮЖНО-САХАЛИНСК,КЧК,DOLEJSOVA OLGA (ЧЕХИЯ),22,https://www.facebook.com/media/set/?set=oa.1299663726854153&type=3,20190323-sahalin.pdf,2019
124,24.03.2019,"ООКС ""Ласточка""",ПЕНЗА,КЧК,ГАЛИАСКАРОВА ЛАРИСА (РОССИЯ),24,https://www.facebook.com/media/set/?set=oa.1299669113520281&type=3,20190324-penza.pdf,2019
125,24.03.2019,"ОО НГКЛЖ ""Фауна""",НОВОРОССИЙСК,КЧК,OZKANAL UMIT (ТУРЦИЯ),26,https://www.facebook.com/media/set/?set=oa.1318201035000422&type=3,20190324-novorosiisk.pdf,2019
126,06.04.2019,"СРОО ""СКЦ""",ЕКАТЕРИНБУРГ,ЧК,"ROGER BARENNE (ФРАНЦИЯ), LEOS JANCIK (ЧЕХИЯ)",175,"https://www.facebook.com/media/set/?set=oa.1296291223858070&type=3, https://www.facebook.com/media/set/?set=oa.1296318870521972&type=3, https://www.facebook.com/media/set/?set=oa.1300293170124542&type=3, https://www.facebook.com/media/set/?set=oa.1300299523457240&type=3 ",20190406-ekaterinburg.pdf,2019
127,13.04.2019,"ОО КЛПС ""Кинология""",СЫЗРАНЬ,ПК,ОГАНОВА НАТАЛЬЯ (РОССИЯ),41,да,20190413-syzran.pdf,2019
128,13.04.2019,"СПБ РОО ПКЦ "" ОЛИМП""",САНКТ-ПЕТЕРБУРГ,КЧК,ALBERTO CUCCILLATO (ИТАЛИЯ),28,нет,20190413-sankt-peterburg.pdf,2019
129,13.04.2019,"ОО ""ЦЛЖ ""ТЮЛОС""",НОВЫЙ УРЕНГОЙ,ПК,РАКУТА ВАЛЕРИЯ (РОССИЯ),26,https://www.facebook.com/media/set/?set=oa.1336461019841090&type=3,20190413-urengoi.pdf,2019
130,14.04.2019,КФРБ,УФА,ПК,КРАКОВСКАЯ ЛЮДМИЛА (РОССИЯ),21,https://www.facebook.com/media/set/?set=oa.1318195801667612&type=3,20190414-ufa.pdf,2019
131,14.04.2019,МООЛЖ АМИГО,МО ПОДОЛЬСК,КЧК,КРЮКОВА ЕЛЕНА (РОССИЯ),29,https://www.facebook.com/media/set/?set=oa.1318198075000718&type=3,20190414-podolsk.pdf,2019
